"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: totalStages"
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"508692114,022778","44292207,962125","B/op",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Old_Gen","avgt",1,10,"0,097684","0,062191","MB/sec",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"31724,902921","19229,256121","B/op",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Survivor_Space","avgt",1,10,"15,196905","7,369547","MB/sec",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"4861619,963284","1741091,064597","B/op",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.count","avgt",1,10,"82,000000",NaN,"counts",15
"amphip.stoch.StochDataBench.pDataCacheBuffer:·gc.time","avgt",1,10,"9504,000000",NaN,"ms",15
"amphip.stoch.StochDataBench.pDataCacheList","avgt",1,10,"736,066306","10,548380","us/op",8
"amphip.stoch.StochDataBench.pDataCacheList:·gc.alloc.rate","avgt",1,10,"2905,763408","40,715036","MB/sec",8
"amphip.stoch.StochDataBench.pDataCacheList:·gc.alloc.rate.norm","avgt",1,10,"2355552,516466","496,733222","B/op",8
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Eden_Space","avgt",1,10,"2909,621439","42,048847","MB/sec",8
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"2358687,587991","12622,884128","B/op",8
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Old_Gen","avgt",1,10,"0,448978","0,016822","MB/sec",8
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"363,941644","11,006013","B/op",8
"amphip.stoch.StochDataBench.pDataCacheList:·gc.count","avgt",1,10,"907,000000",NaN,"counts",8
"amphip.stoch.StochDataBench.pDataCacheList:·gc.time","avgt",1,10,"917,000000",NaN,"ms",8
"amphip.stoch.StochDataBench.pDataCacheList","avgt",1,10,"19095,541058","1535,854026","us/op",12
"amphip.stoch.StochDataBench.pDataCacheList:·gc.alloc.rate","avgt",1,10,"2792,898400","198,372334","MB/sec",12
"amphip.stoch.StochDataBench.pDataCacheList:·gc.alloc.rate.norm","avgt",1,10,"58611814,350232","13118,641421","B/op",12
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Eden_Space","avgt",1,10,"2798,984063","170,920649","MB/sec",12
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"58761530,360150","1174815,261200","B/op",12
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Old_Gen","avgt",1,10,"0,514574","0,080943","MB/sec",12
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"10795,605857","1444,659971","B/op",12
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Survivor_Space","avgt",1,10,"5,863183","0,423435","MB/sec",12
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"123067,391064","3901,516895","B/op",12
"amphip.stoch.StochDataBench.pDataCacheList:·gc.count","avgt",1,10,"315,000000",NaN,"counts",12
"amphip.stoch.StochDataBench.pDataCacheList:·gc.time","avgt",1,10,"3231,000000",NaN,"ms",12
"amphip.stoch.StochDataBench.pDataCacheList","avgt",1,10,"256155,122313","5349,920350","us/op",15
"amphip.stoch.StochDataBench.pDataCacheList:·gc.alloc.rate","avgt",1,10,"2117,175534","43,671927","MB/sec",15
"amphip.stoch.StochDataBench.pDataCacheList:·gc.alloc.rate.norm","avgt",1,10,"596941366,737949","181847,891579","B/op",15
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Eden_Space","avgt",1,10,"2117,871206","136,556741","MB/sec",15
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"597212831,113846","39447002,377585","B/op",15
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Old_Gen","avgt",1,10,"0,140619","0,048154","MB/sec",15
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"39652,693333","13535,668137","B/op",15
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Survivor_Space","avgt",1,10,"27,045643","3,477926","MB/sec",15
"amphip.stoch.StochDataBench.pDataCacheList:·gc.churn.G1_Survivor_Space.norm","avgt",1,10,"7624626,281026","950955,318975","B/op",15
"amphip.stoch.StochDataBench.pDataCacheList:·gc.count","avgt",1,10,"113,000000",NaN,"counts",15
"amphip.stoch.StochDataBench.pDataCacheList:·gc.time","avgt",1,10,"12517,000000",NaN,"ms",15
"amphip.stoch.StochDataBench.pDataOrigOnePass","avgt",1,10,"775,362954","17,515131","us/op",8
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.alloc.rate","avgt",1,10,"3105,981694","68,027922","MB/sec",8
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.alloc.rate.norm","avgt",1,10,"2652690,657638","680,768828","B/op",8
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Eden_Space","avgt",1,10,"3111,735135","68,800532","MB/sec",8
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"2657620,374016","16627,307497","B/op",8
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Old_Gen","avgt",1,10,"0,603223","0,020874","MB/sec",8
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"515,164035","11,436338","B/op",8
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.count","avgt",1,10,"1062,000000",NaN,"counts",8
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.time","avgt",1,10,"1035,000000",NaN,"ms",8
"amphip.stoch.StochDataBench.pDataOrigOnePass","avgt",1,10,"21184,485290","161,159634","us/op",12
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.alloc.rate","avgt",1,10,"2942,149010","21,758843","MB/sec",12
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.alloc.rate.norm","avgt",1,10,"68653040,075503","11686,273727","B/op",12
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Eden_Space","avgt",1,10,"2950,691661","54,655071","MB/sec",12
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Eden_Space.norm","avgt",1,10,"68852469,087246","1179107,090913","B/op",12
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Old_Gen","avgt",1,10,"0,560922","0,102562","MB/sec",12
"amphip.stoch.StochDataBench.pDataOrigOnePass:·gc.churn.G1_Old_Gen.norm","avgt",1,10,"13091,905393","2430,828406","B/op",12
